Feature,Mean,Std
bp_med_beta_No,4.646308100391346e-05,6.339935723360151e-05
bp_med_beta_Yes,0.003352378184670435,0.004740978694964626
bp_med_central_No,0.0,0.0
bp_med_central_Yes,3.228699134741181e-06,4.566070105173255e-06
bp_med_ccb_No,0.019025483969787527,0.026906097460785434
bp_med_ccb_Yes,0.0,0.0
bp_med_ccb_dh_No,2.60560347631849e-05,3.684879774376092e-05
bp_med_ccb_dh_Yes,1.859215286511326e-07,2.629327473555697e-07
bp_med_ccb_ndh_No,0.00011519397891089885,0.00016290888727951344
bp_med_ccb_ndh_Yes,8.399122639008904e-07,1.1878153148121292e-06
bp_med_diur_Ksparing_No,0.0,0.0
bp_med_diur_Ksparing_Yes,7.142807380317402e-05,9.848321256079405e-05
bp_med_diur_loop_No,0.0002668221177641462,0.0003773434576831667
bp_med_diur_loop_Yes,2.103094535994802e-05,2.9742248157566003e-05
bp_med_diur_thz_No,0.0001341039368751245,0.00018965160629642647
bp_med_diur_thz_Yes,0.0,0.0
bp_med_renin_inhibitors_No,3.246613410164153e-06,4.5914047164365095e-06
bp_med_renin_inhibitors_Yes,0.0,0.0
bp_med_vasod_No,0.0,0.0
bp_med_vasod_Yes,0.0,0.0
htn_aware_No,0.0,0.0
htn_aware_Yes,0.0,0.0
htn_resistant_jnc7_No,0.15715536375677921,0.012748347801202377
htn_resistant_jnc7_Yes,0.0001291484552932003,0.0001826434970351792
htn_resistant_accaha_No,2.888724945304083e-07,4.0852739956145114e-07
htn_resistant_accaha_Yes,0.023637544515833105,0.033428536035488954
htn_resistant_jnc7_thz_No,0.0,0.0
htn_resistant_jnc7_thz_Yes,0.00062542531371833,0.0008844849609119101
htn_resistant_accaha_thz_No,0.0,0.0
htn_resistant_accaha_thz_Yes,0.0012204946742846198,0.0017260401211774425
cc_smoke_Never,0.0,0.0
cc_smoke_Former,0.0,0.0
cc_smoke_Current,0.0,0.0
cc_bmi_25,0.00024095183653197085,0.00034075735510221816
cc_bmi_25to30,1.5569670629763052e-05,2.2018839366292957e-05
cc_bmi_30to35,0.0,0.0
cc_bmi_35plus,0.0,0.0
cc_diabetes_No,0.0,0.0
cc_diabetes_Yes,1.9119899332784116e-06,2.7039620947631587e-06
cc_ckd_No,0.004954611232437954,0.00700687840119983
cc_ckd_Yes,0.007956943855910033,0.01125281791606924
cc_cvd_mi_No,0.04247695347616428,0.05999691779633835
cc_cvd_mi_Yes,0.0,0.0
cc_cvd_chd_No,1.8054551622555436e-07,2.5532991767183065e-07
cc_cvd_chd_Yes,2.992414837769568e-07,4.2319136478202083e-07
cc_cvd_ascvd_No,0.0004341308169696323,0.0005971069197100383
cc_cvd_ascvd_Yes,0.000878082375100113,0.0009495976325172958
cc_cvd_hf_No,0.0,0.0
cc_cvd_hf_Yes,0.0,0.0
cc_cvd_any_No,3.5889672305652947e-06,5.075566132378047e-06
cc_cvd_any_Yes,0.0,0.0
DSD010AN_1,3.787896717859461e-06,5.356894911265383e-06
DSD010AN_2,0.0005257986112890828,0.0007435915271619601
DSD010AN_7,1.5812093621029996e-05,2.2361677248373723e-05
DSD010AN_9,0.0,0.0
DR1DRSTZ_1,0.0,0.0
DR1DRSTZ_2,8.241863791313705e-05,0.00011655755552907579
DR1DRSTZ_5,0.0,0.0
DR1LANG_1,7.087965126750622e-05,0.00010023896411878262
DR1LANG_2,0.0,0.0
DR1LANG_3,0.0,0.0
DR1LANG_4,0.0,0.0
DR1LANG_5,1.545011913082707e-06,2.184976801509566e-06
DR1LANG_6,0.0,0.0
DS1DS_1,0.0004954725401149799,0.0005869331675836131
DS1DS_2,7.43576484248638e-06,1.051575948686128e-05
DS1AN_1,0.0,0.0
DS1AN_2,0.0009012539036137214,0.001274565493632219
DR2DRSTZ_1,3.137681780525987e-05,4.437352128430812e-05
DR2DRSTZ_2,1.256493449651798e-05,1.7769500775305282e-05
DR2DRSTZ_5,2.866102979041209e-06,4.053281704118008e-06
BPAARM_1,0.0,0.0
BPAARM_2,0.0,0.0
BPAARM_8,0.0011502296210464359,0.0016266703299271353
BPACSZ_1,0.0,0.0
BPACSZ_2,0.0,0.0
BPACSZ_3,1.489082388767979e-06,2.105880509686602e-06
