Feature,Mean,Std
SEQN,0.00014939151842914016,0.00021127151146600019
svy_psu,2.189430832756182e-09,3.0963227775616125e-09
svy_strata,5.258377141164414e-05,7.436468269107378e-05
svy_year,0.0,0.0
demo_age_years,3.3123949733756647e-05,4.684433895284332e-05
bp_sys_mean,0.03153931313534215,0.04460332438393277
bp_dia_mean,0.0,0.0
DSDCOUNT_x,0.0019074996814079095,0.0026976119196694234
DSDANCNT,0.0,0.0
DR1EXMER,2.068409669692983e-06,1.7676330897959855e-06
DR1DAY,0.000542573665381043,0.0007373665207419645
DS1DSCNT,2.3683515372941728e-06,2.2220570055160244e-06
DS1ANCNT,0.0,0.0
BMXWT,0.0,0.0
BMXHT,0.0,0.0
BMXBMI,0.0,0.0
BMXLEG,0.004853042778598815,0.006863238916271254
BMXARML,8.10296133721676e-05,0.00011459317818476773
BMXARMC,2.8537992801861183e-05,4.0358816463297845e-05
BMXWAIST,0.0009129739092038112,0.0011707764374351613
BPXPLS,0.0,0.0
BPXML1,0.019546517926671583,0.027642950749067783
BPXSY1,0.029351227245184137,0.04140729789370218
BPXDI1,0.0,0.0
BPXSY2,0.006252552597113072,0.008842444682288425
BPXDI2,0.0,0.0
BPXSY3,0.002959983676328955,0.003691036746565834
BPXDI3,0.0032897200714753156,0.0046523667414913785
LBXWBCSI,0.0,0.0
LBXLYPCT,1.0010364315729203e-07,1.4156792979599905e-07
LBXMOPCT,0.0,0.0
LBXNEPCT,4.0414264922988565e-05,5.478341780025956e-05
LBXEOPCT,4.930054125617537e-05,6.972149407681751e-05
LBXBAPCT,0.0,0.0
LBDLYMNO,0.0,0.0
LBDMONO,0.0083158596030316,0.01175966760020087
LBDNENO,0.00011498003872639149,0.0001576108918535901
LBDEONO,1.693343085977101e-05,2.3877666674362876e-05
LBDBANO,1.819280611708382e-05,2.5359772220710326e-05
LBXRBCSI,1.2174228509850443e-05,1.7216959070059693e-05
LBXHGB,0.0,0.0
LBXHCT,2.8998298023154775e-05,4.100978635008239e-05
LBXMCVSI,9.896601768538164e-08,1.399590844247223e-07
LBXMCHSI,0.0,0.0
LBXMC,4.45208138710517e-06,6.296193878432952e-06
LBXRDW,9.177006463108705e-06,1.2978247002113878e-05
LBXPLTSI,4.455042346576984e-06,6.300381307475629e-06
LBXMPSI,5.7814155935723656e-05,8.176156342145338e-05
LBDTCSI,3.8341017304083785e-07,5.422238666661682e-07
LBDHDD,0.0,0.0
LBXGH,0.0,0.0
URXUMA,0.0,0.0
URXUCR,6.3260290795506225e-06,8.946356120267077e-06
ALQ130,0.0,0.0
HOD050,0.0,0.0
WHD010,0.0031968987304804757,0.004521097542178818
WHD020,2.753664713748421e-07,3.8942699844112436e-07
WHD050,0.00016458001471399497,0.00023275128890409524
WHD110,8.392704140269292e-06,1.186907602015366e-05
WHD120,0.00020227723535403024,0.00028010279505038307
WHD130,3.481687564021193e-05,4.905869014087099e-05
WHD140,7.66973406175966e-06,1.0846641929935395e-05
demo_age_cat_18to44,0.007893233702971555,0.011161149752653365
demo_age_cat_45to64,1.1663537483346131e-05,1.4461462196476419e-05
demo_age_cat_65to74,0.0,0.0
demo_age_cat_75plus,0.0003522810239730378,0.0001234403439892898
demo_race_NonplusHispanicWhite,1.6855236996930138e-05,2.383690475807136e-05
demo_race_NonplusHispanicBlack,0.0,0.0
demo_race_NonplusHispanicAsian,9.53284766534025e-05,0.00013481482456360877
demo_race_Hispanic,0.0,0.0
demo_race_Other,7.963344689039302e-05,0.00011261870061091138
demo_race_black_No,0.0,0.0
demo_race_black_Yes,1.1080440805806627e-06,1.5670109664644e-06
demo_pregnant_No,0.00010549205045098688,0.00014918828847033241
demo_pregnant_Yes,0.0,0.0
demo_gender_Men,9.161745142226033e-06,1.2956664235141876e-05
demo_gender_Women,0.0046441769247012165,0.006310653143541824
bp_cat_meds_excluded_SBP120andDBP80mmHg,1.053770876134624e-06,5.157944875728961e-07
bp_cat_meds_excluded_SBPof120to130andDBP80mmHg,0.00026823924048442066,9.767679644042925e-05
bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg,0.0005166285643264287,0.0007286956409469409
bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg,0.0009315465271743185,0.0013117916340778563
bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg,0.0,0.0
bp_cat_meds_included_SBP120andDBP80mmHg,7.048521841882186e-05,9.968115183472776e-05
bp_cat_meds_included_SBPof120to130andDBP80mmHg,0.0009364222822892023,0.0012805879690509377
bp_cat_meds_included_SBPof130to140orDBP80to90mmHg,2.622790552637341e-05,3.709185970803753e-05
bp_cat_meds_included_SBPof140to160orDBP90to100mmHg,0.0,0.0
bp_cat_meds_included_SBP160plusorDBP100plusmmHg,5.3906646570008e-07,7.62355106813584e-07
bp_cat_meds_included_takingantihypertensivemedications,0.018921071781875794,0.026758436328563614
bp_med_use_No,0.17480408951077106,0.12042822618068999
bp_med_use_Yes,0.0,0.0
bp_med_recommended_jnc7_No,0.0,0.0
bp_med_recommended_jnc7_Yes,0.0044223518225009854,0.005817495859150435
bp_med_recommended_accaha_No,0.009417289810347222,0.013318058970590994
bp_med_recommended_accaha_Yes,7.014280340917227e-06,9.919690388412118e-06
bp_med_n_class_None,0.000668711156750598,0.0009457003871868963
bp_med_n_class_One,0.00790531426068595,0.011179802642283508
bp_med_n_class_Two,0.0001818398993790933,0.00025604891879986165
bp_med_n_class_Three,0.00035375563442446883,0.0005002860159689824
bp_med_n_class_Fourormore,0.0003603040377639981,0.0005095468567836339
bp_med_n_pills_None,0.06775939668100793,0.04983904013143749
bp_med_n_pills_One,0.005296793536779299,0.007435037485002404
bp_med_n_pills_Two,1.1591736750764385e-05,1.6393191324389627e-05
bp_med_n_pills_Three,3.521624243288397e-06,1.1145355861954592e-06
bp_med_n_pills_Fourormore,0.0,0.0
