"","Year","Feature","No_mean","No_sd","Yes_mean","Yes_sd","MeanDecreaseAccuracy_mean","MeanDecreaseAccuracy_sd","MeanDecreaseGini_mean","MeanDecreaseGini_sd"
"1","pre2013","bp_sys_mean",21.152611630069,1.02556734968671,20.4543633574154,0.722938199135129,23.2169437134424,0.994555762328009,674.486660642205,22.0000057951879
"2","pre2013","BPXSY2",18.6930025823993,0.564531363143175,19.3815647396251,0.755717473030418,21.4410399801959,0.65748037647172,534.551085501283,29.2161385086951
"3","pre2013","BPXSY3",18.4350226433643,0.654213386439861,19.1597969993383,0.503235081283542,21.3330959835658,0.668868885410611,475.899192131269,32.1658926101853
"4","pre2013","BPXSY1",18.0911371495304,0.611693640266929,18.9542699205991,0.486278096908454,20.9282582278802,0.533857147266416,485.771328504619,39.3095429745293
"5","pre2013","bp_dia_mean",15.7310030421369,1.07667947789684,18.3180616295595,0.62194770782988,19.907988404302,0.710388769882507,147.248641235496,11.4524946412775
"6","pre2013","bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",14.0822979873735,0.77698774471749,18.3311498932539,0.703304741930366,18.8418228222974,0.579844186798384,434.171823347154,33.2032260273714
"7","pre2013","BPXDI2",14.4981695062615,0.834202413925863,17.145390811015,0.768150583537401,18.3885008988047,0.555355428309228,94.8532172080139,9.3243102745963
"8","pre2013","BPXDI3",13.8483839499685,1.42529364945134,16.9457969140701,0.540379042960753,18.3324998355085,0.664097974977343,75.5000380130884,7.59974921335263
"9","pre2013","BPXDI1",13.9830654391038,0.701553046744111,16.5701346226749,0.385029848650526,18.1018150142439,0.44383797740687,83.5939612180387,6.20886554350532
"10","pre2013","cc_ckd_No",20.1893347578153,0.471208410145708,15.7803341785862,0.53270456310516,17.6444681153156,0.421196834434351,137.674621911363,13.7880078796569
"11","pre2013","cc_ckd_Yes",19.6916494280875,0.498029631901407,15.6019053270293,0.443194933149569,17.3791450886309,0.455921501962387,136.696649340072,11.0062780756399
"12","pre2013","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",18.3209275572413,0.741877569410491,13.7783382881674,0.396643246701775,16.8666281389084,0.348779189722723,205.184533171861,16.469046888678
"13","pre2013","BPXML1",14.6872940689425,0.514236765886759,14.7939291662655,0.760352993739575,16.5165956947964,0.480711747976452,269.124054120615,27.062495415805
"14","pre2013","URXUMA",14.6487065222575,1.10015252869966,13.6701487747291,0.689363127537955,15.5472196716045,0.678844059589606,51.3809318943867,6.28258066273415
"15","pre2013","bp_med_recommended_jnc7_No",12.5998826106554,0.374620619554441,14.9273200333924,0.713006937327095,15.4989082444043,0.576083569361667,261.282438715645,21.9533496572286
"16","pre2013","bp_med_recommended_jnc7_Yes",12.5967447727776,0.600110308687224,14.8644687222469,0.601290831794611,15.3756871839737,0.664122643055161,266.102740729546,17.0270670953842
"17","pre2013","cc_diabetes_Yes",16.4834555820833,0.436518139611112,13.4841366856628,0.342587138898522,15.2981249651769,0.366125371446867,61.5417737705956,6.48091974554314
"18","pre2013","cc_diabetes_No",16.2276159513029,0.437590501237874,13.5640350323842,0.473964319434529,15.2050059856946,0.462351333258618,62.3032798439546,6.56151959959983
"19","pre2013","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",11.8380812204617,0.573097185868925,14.4801678986899,0.668620949356212,14.7201228906665,0.651854392559219,78.7399358579375,4.88532957519461
"20","pre2013","LBXGH",15.7315302057487,0.38624918935218,12.4072688218367,0.499437185869002,14.0985084998839,0.485840342355549,51.7924725943321,2.68162367410144
"21","pre2013","LBXLYPCT",11.21243646549,0.717707826849037,10.8502702628856,0.626643155788404,13.9453652678363,0.854923960492713,8.70254877932669,0.467543158408768
"22","pre2013","LBXPLTSI",11.4182708195305,0.781831061665247,11.2312808113372,0.922125267196538,13.8339981477554,0.94240595878395,8.9985684258941,0.364413533397104
"23","pre2013","LBXMOPCT",11.2800086475451,1.20072666991642,10.8659836294223,1.121808059052,13.6727641806587,1.59197148654213,8.28577797142423,0.499503905334995
"24","pre2013","LBXWBCSI",10.5618185678858,1.02754203686323,11.0879382746166,1.45931176767027,13.5033742764452,1.0693035207552,8.05864165752503,0.332588354866672
"25","pre2013","BPXPLS",11.4162586237303,0.76968857003206,11.5490899104304,1.06871974820552,13.4300265939501,0.876734878744789,10.8291007248042,0.715452363452002
"26","pre2013","demo_age_years",12.2626428839489,1.09802494754696,11.5708093797977,0.732746802925487,13.2270904318779,0.896247958085058,29.797533046078,1.8449363070572
"27","pre2013","LBXHGB",10.7037146306982,1.0319047082122,10.5769824097707,0.791550631093833,13.1246489726295,1.14342892347978,8.57026695476341,0.454022786772958
"28","pre2013","LBDNENO",10.1820153088095,1.3934002181046,10.6084642383562,1.17892375043755,13.0836970000688,1.25843398999169,7.87768028107132,0.476662737759122
"29","pre2013","LBXRBCSI",10.1165040405756,1.45972605193875,10.9707260157355,1.00644674845332,12.9882073837029,1.38165039240173,8.5584979859111,0.643643057992936
"30","pre2013","LBDTCSI",10.84935128944,0.598924689490086,11.3841390533267,0.723117676493918,12.9763336844597,0.796553138586615,11.3612798304309,0.882598668778108
"31","pre2013","LBXEOPCT",10.3068752518814,2.01342477983419,10.4887123807247,0.855115306528319,12.973630097367,1.98508976656453,7.68460577527886,0.451818844054683
"32","pre2013","LBXHCT",10.5876431493916,1.26874631897106,10.4018298927459,1.18236739380378,12.9729870971598,1.41661672011965,9.11207201662359,0.691725871365689
"33","pre2013","LBXMPSI",10.3895747217257,0.60687112411569,10.5532043243186,0.69110019410237,12.9183372017255,1.10578980415054,7.69603357054832,0.432998005504828
"34","pre2013","LBXMCHSI",10.4720788154981,0.995200932818635,10.2572706095329,1.09414994351166,12.9165968363166,0.779570024954694,8.77962160376252,0.610858498937033
"35","pre2013","LBXMCVSI",10.8383630891964,0.903416352071933,10.2643002569316,1.25250746376538,12.9134172771327,1.52675243222671,8.90152614980277,0.68096599993511
"36","pre2013","LBXNEPCT",10.61350205296,0.866431048676316,10.0945633028681,1.06964479075674,12.8912337796339,0.951734893483673,8.19576946109808,0.537360268077892
"37","pre2013","BMXBMI",10.7129813544263,1.53771144827175,10.2339851687211,0.909102820077793,12.8357936532508,1.11239629445863,11.7991554948435,0.703847910830751
"38","pre2013","HOD050",10.3516797818951,1.05855795710443,10.0612191145774,0.931331847535703,12.8202070126858,1.02722473062076,5.76605086004005,0.319733164403694
"39","pre2013","LBDLYMNO",10.209322685069,0.771127993428797,10.0912731594993,1.07035301058557,12.6735334505146,0.988824730369632,6.70711842211754,0.370401756979012
"40","pre2013","bp_cat_meds_excluded_SBP120andDBP80mmHg",10.0948627975471,0.354909485072086,12.21474759813,0.779677591764005,12.6463242187091,0.737260000459483,106.221262588194,8.46298106954512
"41","pre2013","LBXBAPCT",10.2133349435372,0.841069973945772,9.88281020218464,0.72512743194545,12.6444302761641,0.962354797616959,6.73102029190981,0.351738629075575
"42","pre2013","LBXMC",10.218801632418,1.74557195267771,10.7300649736008,0.908533160194686,12.6310199602477,1.81285254573254,8.37122182032839,0.687988583749268
"43","pre2013","BMXWAIST",10.227405144483,1.33824763961371,10.5691199045955,0.805636399475569,12.5818677225627,0.969175740651065,11.2450318783154,0.444166527198833
"44","pre2013","BMXARML",10.306921030887,1.0394959376618,10.1248410159873,1.04161685843448,12.1959728318963,1.37116998666872,10.1914730500257,0.578602956401885
"45","pre2013","bp_cat_meds_included_SBPof140to160orDBP90to100mmHg",6.76230191048499,0.520903386730663,11.6032788397307,0.389694664015411,12.1013974440898,0.346625259407678,158.68522160733,15.1862496345516
"46","pre2013","URXUCR",10.6091251299089,0.704924493834586,10.459218672346,1.62272069845064,12.0907266691212,1.65898809115593,10.0778815364362,0.48680171630651
"47","pre2013","LBDHDD",9.82926298358711,1.37258650949878,10.8140708623968,1.11352291990028,12.0680519414731,1.21947145566494,9.62767119095914,0.715996687937799
"48","pre2013","WHD110",9.67525856796624,1.3835329424925,10.4967306670657,0.824201782520324,12.0420107012785,1.50523047153511,9.56319643424835,0.674758661768457
"49","pre2013","BMXLEG",10.8059407877351,0.687767750354949,10.3205728161458,0.630110968741007,12.0219162746985,0.849441772118496,14.5701991362068,1.04296544918104
"50","pre2013","bp_med_use_No",7.34014141066566,0.926222329689378,11.5425423629921,0.534400948912129,11.9338899178632,0.489441038248183,61.100730570728,7.2968044471273
