"Outcome","Feature","Coefficient_Pre","Coefficient_Post","Coefficient_Overall"
"bp_control_accaha","BPXDI2",0,0.845815131860269,0.290614079993924
"bp_control_accaha","BPXDI2",0,0,0
"bp_control_accaha","BPXDI2",0,0,0
"bp_control_accaha","LBXEOPCT",0,0,0
"bp_control_accaha","LBXEOPCT",0,0,0
"bp_control_accaha","LBXEOPCT",0,0,0
"bp_control_accaha","LBXEOPCT",0,0,0
"bp_control_accaha","LBXEOPCT",0,0,0
"bp_control_accaha","LBXEOPCT",0,0,0.0189006464867774
"bp_control_accaha","LBXEOPCT",0,0,-0.00011137170471764
"bp_control_accaha","LBXEOPCT",0,0,-0.360378782290002
"bp_control_accaha","LBXEOPCT",0,0,0.00399516077108711
"bp_control_accaha","LBXEOPCT",0,0,0
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,-0.229672362231587,-0.15454897379143
"bp_control_accaha","LBDMONO",0,0.00247849937747918,3.6050218097986e-15
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,0,0
"bp_control_accaha","LBDMONO",0,0,-0.063115894007591
"bp_control_accaha","LBXPLTSI",0,0,0.0224016277858649
"bp_control_accaha","LBXPLTSI",0,0.671473444502876,0
"bp_control_accaha","LBXPLTSI",0,-5.38625282480538e-14,0
"bp_control_accaha","LBXPLTSI",0,0,0
"bp_control_accaha","LBXPLTSI",0,0,0
"bp_control_accaha","LBXPLTSI",0,-1.47552189210175,-0.121649218381083
"bp_control_accaha","LBXPLTSI",0,9.95325505859704e-15,1.46624762610627e-15
"bp_control_accaha","LBXPLTSI",-0.725794252455488,0,0
"bp_control_accaha","LBXPLTSI",0,0,0
"bp_control_accaha","LBXPLTSI",0,0,0
"bp_control_accaha","URXUCR",0,0,0
"bp_control_accaha","URXUCR",-16.601903505036,-19.4098234554809,-21.0978207588451
"bp_control_accaha","URXUCR",0,0,0
"bp_control_accaha","URXUCR",-0.195732694921765,-2.11941048231822,-1.22818811396145
"bp_control_accaha","URXUCR",0,0.323807457700517,0.036801768600784
"bp_control_accaha","URXUCR",0,0.289257998009685,0.168141868390436
