"","coef","mean","sd"
"(Intercept)",-21.0978207588451,0.127212421975517,2.08514382297095
"demo_age_years",0,0.127212421975517,2.08514382297095
"bp_sys_mean",-1.22818811396145,0.127212421975517,2.08514382297095
"bp_dia_mean",0.036801768600784,0.127212421975517,2.08514382297095
"DSDCOUNT_x",0.168141868390436,0.127212421975517,2.08514382297095
"DSDANCNT",0,0.127212421975517,2.08514382297095
"DR1EXMER",0.303595963770159,0.127212421975517,2.08514382297095
"DR1DAY",0,0.127212421975517,2.08514382297095
"DS1DSCNT",0,0.127212421975517,2.08514382297095
"DS1ANCNT",0,0.127212421975517,2.08514382297095
"BMXWT",0,0.127212421975517,2.08514382297095
"BMXHT",0,0.127212421975517,2.08514382297095
"BMXBMI",0,0.127212421975517,2.08514382297095
"BMXLEG",0,0.127212421975517,2.08514382297095
"BMXARML",-0.197397077733239,0.127212421975517,2.08514382297095
"BMXARMC",0,0.127212421975517,2.08514382297095
"BMXWAIST",0,0.127212421975517,2.08514382297095
"BPXPLS",-0.0875900712019736,0.127212421975517,2.08514382297095
"BPXML1",0,0.127212421975517,2.08514382297095
"BPXSY1",0,0.127212421975517,2.08514382297095
"BPXDI1",0.0859823341612962,0.127212421975517,2.08514382297095
"BPXSY2",-0.86796634435685,0.127212421975517,2.08514382297095
"BPXDI2",0.263377544392871,0.127212421975517,2.08514382297095
"BPXSY3",-0.904543266532824,0.127212421975517,2.08514382297095
"BPXDI3",0,0.127212421975517,2.08514382297095
"LBXWBCSI",0,0.127212421975517,2.08514382297095
"LBXLYPCT",0,0.127212421975517,2.08514382297095
"LBXMOPCT",0,0.127212421975517,2.08514382297095
"LBXNEPCT",0,0.127212421975517,2.08514382297095
"LBXEOPCT",-0.103160680845583,0.127212421975517,2.08514382297095
"LBXBAPCT",0,0.127212421975517,2.08514382297095
"LBDLYMNO",0,0.127212421975517,2.08514382297095
"LBDMONO",0,0.127212421975517,2.08514382297095
"LBDNENO",-0.0326471705998551,0.127212421975517,2.08514382297095
"LBDEONO",0,0.127212421975517,2.08514382297095
"LBDBANO",0,0.127212421975517,2.08514382297095
"LBXRBCSI",0,0.127212421975517,2.08514382297095
"LBXHGB",0,0.127212421975517,2.08514382297095
"LBXHCT",0,0.127212421975517,2.08514382297095
"LBXMCVSI",0,0.127212421975517,2.08514382297095
"LBXMCHSI",0,0.127212421975517,2.08514382297095
"LBXMC",0,0.127212421975517,2.08514382297095
"LBXRDW",0,0.127212421975517,2.08514382297095
"LBXPLTSI",-0.1261345257774,0.127212421975517,2.08514382297095
"LBXMPSI",0,0.127212421975517,2.08514382297095
"LBDTCSI",0,0.127212421975517,2.08514382297095
"LBDHDD",0,0.127212421975517,2.08514382297095
"LBXGH",0,0.127212421975517,2.08514382297095
"URXUMA",0,0.127212421975517,2.08514382297095
"URXUCR",0,0.127212421975517,2.08514382297095
"ALQ130",0,0.127212421975517,2.08514382297095
"HOD050",0.188905284335032,0.127212421975517,2.08514382297095
"WHD010",0,0.127212421975517,2.08514382297095
"WHD020",0,0.127212421975517,2.08514382297095
"WHD050",0,0.127212421975517,2.08514382297095
"WHD110",0,0.127212421975517,2.08514382297095
"WHD120",0.15232781165501,0.127212421975517,2.08514382297095
"WHD130",0,0.127212421975517,2.08514382297095
"WHD140",0,0.127212421975517,2.08514382297095
"demo_age_cat_18to44",-0.299486116461593,0.127212421975517,2.08514382297095
"demo_age_cat_45to64",0,0.127212421975517,2.08514382297095
"demo_age_cat_65to74",10.9557570999528,0.127212421975517,2.08514382297095
"demo_age_cat_75plus",0,0.127212421975517,2.08514382297095
"demo_race_NonplusHispanicWhite",0,0.127212421975517,2.08514382297095
"demo_race_NonplusHispanicBlack",0,0.127212421975517,2.08514382297095
"demo_race_NonplusHispanicAsian",0,0.127212421975517,2.08514382297095
"demo_race_Hispanic",0,0.127212421975517,2.08514382297095
"demo_race_Other",1.71885290490393,0.127212421975517,2.08514382297095
"demo_race_black_No",0,0.127212421975517,2.08514382297095
"demo_race_black_Yes",0,0.127212421975517,2.08514382297095
"demo_pregnant_No",0,0.127212421975517,2.08514382297095
"demo_pregnant_Yes",0,0.127212421975517,2.08514382297095
"demo_gender_Men",-0.598418715819258,0.127212421975517,2.08514382297095
"demo_gender_Women",0.238426207307639,0.127212421975517,2.08514382297095
"bp_cat_meds_excluded_SBP120andDBP80mmHg",23.7541933080854,0.127212421975517,2.08514382297095
"bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",25.3734615570161,0.127212421975517,2.08514382297095
"bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",0,0.127212421975517,2.08514382297095
"bp_cat_meds_excluded_SBPof140to160orDBP90to100mmHg",-0.0820415416643394,0.127212421975517,2.08514382297095
"bp_cat_meds_excluded_SBP160plusorDBP100plusmmHg",0,0.127212421975517,2.08514382297095
"bp_cat_meds_included_SBP120andDBP80mmHg",0,0.127212421975517,2.08514382297095
"bp_cat_meds_included_SBPof120to130andDBP80mmHg",0,0.127212421975517,2.08514382297095
